wind_onshore,pv,load,installed_renewables
0.777,0.722,0.08752191781,0.722
0.794,0.613,0.08469863014,0.613
0.815,0.451,0.08281643836,0.451
0.832,0.228,0.08281643836,0.228
0.829,0.013,0.08469863014,0.013
0.835,0,0.09881506849,0
0.850,0,0.1035205479,0
0.844,0,0.09881506849,0
0.861,0,0.09222739726,0
0.864,0,0.07716986301,0
0.855,0,0.06681780822,0
0.859,0,0.06399452055,0
0.821,0,0.06023013699,0
0.808,0,0.05834794521,0
0.829,0,0.05740684932,0
0.819,0,0.0592890411,0
0.817,0,0.06587671233,0
0.823,0.124,0.06964109589,0.124
0.863,0.332,0.07434657534,0.332
0.890,0.482,0.07622876712,0.482
0.892,0.657,0.07905205479,0.657
0.877,0.748,0.08469863014,0.748
0.859,0.790,0.08658082192,0.790
0.849,0.778,0.08658082192,0.778
0.845,0.720,0.08752191781,0.720
0.855,0.610,0.08469863014,0.610
0.868,0.450,0.08281643836,0.450
0.876,0.229,0.08281643836,0.229
0.865,0.013,0.08469863014,0.013
0.862,0,0.09881506849,0
0.871,0,0.1035205479,0
0.879,0,0.09881506849,0
0.886,0,0.09222739726,0
0.896,0,0.07716986301,0
0.896,0,0.06681780822,0
